rank,show name,IMDb page link,IMDb rating,# of ratings,genre,airing years,rating system,top casts
1,Planet Earth II(2016),http://imdb.com/title/tt5491994/,9.5,105000,Documentary,2016,TV-G,David Attenborough
2,Planet Earth(2006),http://imdb.com/title/tt0795176/,9.4,174000,Documentary,2006,TV-PG,"David Attenborough, Sigourney Weaver, Nikolay Drozdov, Thomas Anguti Johnston, Huw Cordey, Doug Allan, Mark Linfield, Doug Anderson, Tom Clarke, Dany Cleyet-Marrel, Justine Evans, Mike Holding, Chadden Hunter, Choi Jen, Tania Jenkins, Jonathan Keeling, Michael Kelem, Simon King"
3,Breaking Bad(2008),http://imdb.com/title/tt0903747/,9.4,1600000,"Crime, Drama, Thriller",2008–2013,TV-MA,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, RJ Mitte, Dean Norris, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito, Charles Baker, Jesse Plemons, Christopher Cousins, Laura Fraser, Matt Jones, Michael Shamus Wiles, Lavell Crawford, Ray Campbell"
4,Band of Brothers(2001),http://imdb.com/title/tt0185906/,9.4,401000,"Action, Drama, History",2001,TV-MA,"Scott Grimes, Damian Lewis, Ron Livingston, Shane Taylor, Donnie Wahlberg, Peter Youngblood Hills, Matthew Leitch, Nicholas Aaron, Philip Barantini, Michael Cudlitz, Dexter Fletcher, Rick Gomez, James Madio, Ross McCall, Doug Allen, George Calil, Nolan Hemmings, Robin Laing"
5,Chernobyl(2019),http://imdb.com/title/tt7366338/,9.3,618000,"Drama, History, Thriller",2019,TV-MA,"Jessie Buckley, Jared Harris, Stellan Skarsgård, Adam Nagaitis, Emily Watson, Paul Ritter, Robert Emms, Sam Troughton, Karl Davies, Michael Socha, Laura Elphinstone, Jan Ricica, Adrian Rawlins, Alan Williams, Con O'Neill, Douggie McMeekin, Nadia Clifford, David Dencik"
6,The Wire(2002),http://imdb.com/title/tt0306414/,9.3,306000,"Crime, Drama, Thriller",2002–2008,TV-MA,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce, John Doman, Deirdre Lovejoy, Seth Gilliam, Domenick Lombardozzi, Clarke Peters, Andre Royo, Michael Kenneth Williams, Jim True-Frost, Frankie Faison, Corey Parker Robinson, Delaney Williams, J.D. Williams, Wood Harris, Idris Elba"
7,Blue Planet II(2017),http://imdb.com/title/tt6769208/,9.3,37000,Documentary,2017,TV-G,"David Attenborough, Peter Drost, Roger Horrocks, Roger Munns"
8,Our Planet(2019),http://imdb.com/title/tt9253866/,9.2,38000,Documentary,2019,TV-G,David Attenborough
9,Cosmos: A Spacetime Odyssey(2014),http://imdb.com/title/tt2395695/,9.2,116000,Documentary,2014,TV-PG,"Neil deGrasse Tyson, Enn Reitel, Stoney Emshwiller, Christopher Emerson, Piotr Michael, André Sogliuzzo, Larry Cedar, Kirsten Dunst, Phil LaMarr, Amanda Seyfried, Maria Frucci, Seth MacFarlane, Fred Tatasciore, Peggy Jo Jacobs, John Steven Rocha, Keythe Farley, Marlee Matlin, Alfred Molina"
10,Avatar: The Last Airbender(2005),http://imdb.com/title/tt0417299/,9.2,274000,"Animation, Action, Adventure",2005–2008,TV-Y7-FV,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena, Dante Basco, Michaela Jill Murphy, Mako, Grey Griffin, André Sogliuzzo, Cricket Leigh, Mark Hamill, Jennie Kwan, Olivia Hack, Greg Baldwin, Jim Meskimen, James Garrett, Jason Isaacs, James Sie"
11,Cosmos(1980),http://imdb.com/title/tt0081846/,9.2,39000,Documentary,1980,TV-PG,"Carl Sagan, Jaromír Hanzlík, Jonathan Fahn, Alan Belod, Jean Charney, Bill Grant, Bob Hevelone, Ronald A. Hilbert, Victor C. John, Arthur 'Lonne' Lane, Linda Morabito, Larry Soderblom, Cecilia White, Dana Hlavácová, Josef Vinklár"
12,Game of Thrones(2011),http://imdb.com/title/tt0944947/,9.2,1900000,"Action, Adventure, Drama",2011–2019,TV-MA,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey, Sophie Turner, Maisie Williams, Nikolaj Coster-Waldau, Iain Glen, John Bradley, Alfie Allen, Conleth Hill, Liam Cunningham, Gwendoline Christie, Aidan Gillen, Isaac Hempstead Wright, Rory McCann, Nathalie Emmanuel, Jerome Flynn"
13,The Sopranos(1999),http://imdb.com/title/tt0141842/,9.2,340000,"Crime, Drama",1999–2007,TV-MA,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli, Steven Van Zandt, Robert Iler, Tony Sirico, Jamie-Lynn Sigler, Dominic Chianese, Aida Turturro, Steve Schirripa, Drea de Matteo, Dan Grimaldi, Joseph R. Gannascoli, Sharon Angela, John Ventimiglia, Vincent Curatola, Frank Vincent"
14,Rick and Morty(2013),http://imdb.com/title/tt2861424/,9.1,437000,"Animation, Adventure, Comedy",2013– ,TV-MA,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke, Kari Wahlgren, Dan Harmon, Maurice LaMarche, Tom Kenny, Brandon Johnson, Ryan Ridley, Nolan North, Cassie Steele, Phil Hendrie, Echo Kellum, Keith David, Rob Schrab, Rob Paulsen, Tara Strong"
15,The World at War(1973),http://imdb.com/title/tt0071075/,9.1,24000,"Documentary, History, War",1973–1974,TV-PG,"Laurence Olivier, Anthony Eden, Averell Harriman, Albert Speer, Siegfried Westphal, J. Lawton Collins, Lawrence Durrell, Toshikazu Kase, Louis Mountbatten, Wynford Vaughan-Thomas, David Belchem, Christabel Bielenberg, Emmi Bonhoeffer, R.A. Butler, Lord Chandos, Francis de Guingand, Adolf Galland, Allan Francis Harding"
16,The Last Dance(2020),http://imdb.com/title/tt8420184/,9.1,98000,"Documentary, Biography, History",2020,TV-MA,"Phil Jackson, Michael Jordan, David Aldridge, Scottie Pippen, Steve Kerr, Michael Wilbon, Deloris Jordan, Andrea Kremer, John Paxson, Bill Wennington, B.J. Armstrong, Bob Costas, Ahmad Rashad, Jerry Reinsdorf, Dennis Rodman, Sam Smith, David Stern, Rick Telander"
17,Life(2009),http://imdb.com/title/tt1533395/,9.1,39000,Documentary,2009,TV-G,"Oprah Winfrey, David Attenborough, Doug Allan, Barrie Britton, Justine Evans, Kevin Flay, Nick Guy, Neil Lucas, Stephen Lyle, Roger Munns, Michael Pitts, Jonathan Smith, Matthew Swarbrick, Doug Anderson, David Baillie, Simon Blakeney, Lincoln Brower, Adam Chapman"
18,Fullmetal Alchemist: Brotherhood(2009),http://imdb.com/title/tt1355642/,9.0,140000,"Animation, Action, Adventure",2009–2012,TV-14,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Park, Muriel Hofmann, Lili Troncale, Rie Kugimiya, Maxey Whitehead, Travis Willingham, Shin'ichirô Miki, Colleen Clinkenbeard, Fumiko Orikasa, Kenta Miyake, J. Michael Tatum, Yuki Hayashi, Caitlin Glass, Monica Rial, Megumi Takamoto"
19,Sherlock(2010),http://imdb.com/title/tt1475582/,9.0,854000,"Crime, Drama, Mystery",2010–2017,TV-14,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Louise Brealey, Mark Gatiss, Andrew Scott, Amanda Abbington, Jonathan Aris, Vinette Robinson, Tanya Moodie, Lindsay Duncan, Yasmine Akram, Sian Brooke, David Nellist, Simon Kunz, Timothy Carlton, Wanda Ventham"
20,The Vietnam War(2017),http://imdb.com/title/tt1877514/,9.0,22000,"Documentary, History, War",2017,TV-MA,"Peter Coyote, Huy Duc, James Willbanks, Duong Van Mai Elliott, John Musgrave, Phan Quang Tue, Karl Marlantes, Nguyen Ngoc, Bao Ninh, Bill Zimmerman, Leslie Gelb, Hal Kushner, Roger Harris, Carol Crocker, Tim O'Brien, Jack Todd, Bui Diem, Robert Gard"
21,Scam 1992: The Harshad Mehta Story(2020),http://imdb.com/title/tt12392504/,9.0,132000,"Biography, Crime, Drama",2020,TV-14,"Pratik Gandhi, Shreya Dhanwanthary, Hemant Kher, Anjali Barot, Chirag Vohra, Brinda Trivedi, Jay Upadhyay, Kumkum Das, Anant Mahadevan, Faisal Rashid, Nikhil Dwivedi, Kavin Dave, Paresh Ganatra, Himanshu Kohli, Aakanksha Gade, K.K. Raina, Raghav Raj Kakker, Kartik Krishnan"
22,The Twilight Zone(1959),http://imdb.com/title/tt0052520/,9.0,76000,"Drama, Fantasy, Horror",1959–1964,TV-PG,"Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor, David Armstrong, James Turley, Jack Klugman, Burgess Meredith, John Anderson, J. Pat O'Malley, Barney Phillips, George Mitchell, Cyril Delevanti, Jon Lormer, John McLiam, Bill Erwin, Nan Peterson, Lew Brown"
23,The Blue Planet(2001),http://imdb.com/title/tt0296310/,9.0,37000,Documentary,2001,TV-G,"David Attenborough, Pierce Brosnan"
24,Batman: The Animated Series(1992),http://imdb.com/title/tt0103359/,9.0,94000,"Animation, Action, Adventure",1992–1995,TV-PG,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings, Robert Costanzo, Mari Devon, Mark Hamill, Richard Moll, Lloyd Bochner, Arleen Sorkin, John Vernon, Adrienne Barbeau, Brock Peters, Diane Pershing, Paul Williams, Ingrid Oliu, Neil Ross, Aron Kincaid"
25,Human Planet(2011),http://imdb.com/title/tt1806234/,9.0,25000,Documentary,2011,TV-PG,"John Hurt, Roger Munns"
26,Clarkson's Farm(2021),http://imdb.com/title/tt10541088/,8.9,24000,"Documentary, Reality-TV",2021– ,TV-PG,"Jeremy Clarkson, Kaleb Cooper, Charlie Ireland, Gerald Cooper, Lisa Hogan, Kevin Harrison, Ellen Helliwell, Dave Clay"
27,Persona(2018),http://imdb.com/title/tt7920978/,8.9,36000,"Crime, Drama, Mystery",2018,TV-MA,"Haluk Bilginer, Cansu Dere, Metin Akdülger, Sebnem Bozoklu, Hüseyin Avni Danyal, Necip Memili, Senay Gürler, Ayhan Kavas, Önder Selen, Ibrahim Selim, Firat Topkorur, Recep Usta, Rabia Soyturk, Alptekin Ertürk, Müjde Ar, Yusufcan Sancakli, Hümeyra, Volkan Uygun"
28,Firefly(2002),http://imdb.com/title/tt0303461/,8.9,252000,"Adventure, Drama, Sci-Fi",2002–2003,TV-14,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin, Adam Baldwin, Jewel Staite, Sean Maher, Summer Glau, Ron Glass, Christina Hendricks, Mark Sheppard, Michael Fairman, Jeff Ricketts, Dennis Cockrum, Zac Efron, Richard Brooks, Steven Flynn, Isabella Hofmann"
29,Frozen Planet(2011),http://imdb.com/title/tt2092588/,8.9,29000,Documentary,2011–2012,TV-PG,"David Attenborough, Alec Baldwin, Chadden Hunter, Ted Giffords, John Aitchison, Doug Allan, Doug Anderson, Miles Barton, Vanessa Berlowitz, Lewis Brower, John Durban, Faye Hicks, Alun Hubbard, Michael Kelem, Mark Linfield, Red McBrian, Jamie McPherson, Hugh Miller"
30,Death Note(2006),http://imdb.com/title/tt0877057/,8.9,273000,"Animation, Crime, Drama",2006–2007,TV-14,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô, Trevor Devall, Brian Drummond, Naoya Uchida, Chris Britton, Keiji Fujiwara, Kappei Yamaguchi, Aya Hirano, Shannon Chan-Kent, Alessandro Juliani, Shidô Nakamura, John Murphy, Kazuya Nakai, Kiyoshi Kobayashi, French Tickner"
31,Dekalog(1989),http://imdb.com/title/tt0092337/,8.9,24000,Drama,1989–1990,TV-MA,"Artur Barcis, Olgierd Lukaszewicz, Aleksander Bardini, Olaf Lubaszenko, Krystyna Janda, Piotr Machalica, Jan Tesarz, Stanislaw Gawlik, Krzysztof Kumor, Katarzyna Piwowarczyk, Maciej Szary, Henryk Baranowski, Miroslaw Baka, Adrianna Biedrzynska, Ewa Blaszczyk, Maria Koscialkowska, Daniel Olbrychski, Anna Polony"
32,True Detective(2014),http://imdb.com/title/tt2356777/,8.9,524000,"Crime, Drama, Mystery",2014–2019,TV-MA,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch, Matthew McConaughey, Mahershala Ali, Woody Harrelson, Carmen Ejogo, Michelle Monaghan, Stephen Dorff, Michael Potts, Kelly Reilly, Scoot McNairy, Tory Kittles, Ray Fisher, Chris Kerson, Ritchie Coster, Sarah Gadon"
33,Cowboy Bebop(1998),http://imdb.com/title/tt0213338/,8.9,99000,"Animation, Action, Adventure",1998–1999,TV-14,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum, Beau Billingslea, Kevin Seymour, Wendee Lee, Isshin Chiba, Melissa Fahn, Aoi Tada, Hiroshi Naka, Tsutomu Tareki, Miki Nagasawa, Toshihiko Nakajima, Jin Hirao, Skip Stellrecht, Kazuhiro Nakata, Shinpachi Tsuji"
34,The Civil War(1990),http://imdb.com/title/tt0098769/,8.9,15000,"Documentary, History, War",1990,TV-14,"David McCullough, Sam Waterston, Julie Harris, Jason Robards, Morgan Freeman, Paul Roebling, Garrison Keillor, George Black, Arthur Miller, Christopher Murney, Charles McDowell, Horton Foote, George Plimpton, Philip Bosco, Terry Courier, Jody Powell, Studs Terkel, Jeremy Irons"
35,Attack on Titan(2013),http://imdb.com/title/tt2560140/,8.9,255000,"Animation, Action, Adventure",2013–2022,TV-MA,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa, Bryce Papenbrook, Trina Nishimura, Kishô Taniyama, Hiro Shimono, Clifford Chapin, Mike McFarland, Romi Park, Hiroshi Kamiya, Yû Kobayashi, Matthew Mercer, Jessica Calvello, Daisuke Ono, Yoshimasa Hosoya, Ashly Burch"
36,Fargo(2014),http://imdb.com/title/tt2802850/,8.9,348000,"Crime, Drama, Thriller",2014– ,TV-MA,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks, Russell Harvard, Bokeem Woodbine, Brad Mann, Kirsten Dunst, Ewan McGregor, Chris Rock, Patrick Wilson, Carrie Coon, Jessie Buckley, Jesse Plemons, Mary Elizabeth Winstead, Jason Schwartzman, David Thewlis, Ted Danson"
37,Hunter x Hunter(2011),http://imdb.com/title/tt2098220/,8.9,74000,"Animation, Action, Adventure",2011–2014,TV-14,"Issei Futamata, Megumi Han, Cristina Valenzuela, Mariya Ise, Michael McConnohie, Erica Mendez, Erika Harlacher, Miyuki Sawashiro, Daisuke Namikawa, Matthew Mercer, Keiji Fujiwara, Keith Silverstein, Wataru Takagi, Tony Oliver, Bill Rogers, Ray Chase, Ben Diskin, Kyle Hebert"
38,When They See Us(2019),http://imdb.com/title/tt7137906/,8.9,106000,"Biography, Crime, Drama",2019,TV-MA,"Asante Blackk, Caleel Harris, Ethan Herisse, Marquis Rodriguez, Marsha Stephanie Blake, Kylie Bunbury, John Leguizamo, Niecy Nash, Suzzanne Douglas, Michael Kenneth Williams, Jharrel Jerome, Aunjanue Ellis, Felicity Huffman, Len Cariou, William Sadler, Adepero Oduye, Alexandra Templer, Denia Brache"
39,The Office(2005),http://imdb.com/title/tt0386676/,8.8,476000,Comedy,2005–2013,TV-14,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson, Leslie David Baker, Brian Baumgartner, Angela Kinsey, Kate Flannery, Phyllis Smith, Creed Bratton, Oscar Nuñez, Mindy Kaling, B.J. Novak, Ed Helms, Paul Lieberstein, Craig Robinson, Ellie Kemper, Zach Woods"
40,Africa(2013),http://imdb.com/title/tt2571774/,8.8,15000,Documentary,2013,TV-PG,"David Attenborough, Simon Blakeney, James Aldred, Katrina Bartlam, Tim Berrow, Andres Bifani, Paul Brehem, Kate Broome, Kahindi Changawa, Martyn Colbeck, Mark Deeble, Stephanie Dolrenry, Justine Evans, Kevin Flay, Mike Fox, Mohammed Hawash, Olubi Lairumbe, Mark MacEwen"
41,Apocalypse: The Second World War(2009),http://imdb.com/title/tt1508238/,8.8,11000,"Documentary, History, War",2009,TV-MA,"Mathieu Kassovitz, Martin Sheen, Rudolf Hess"
42,Last Week Tonight with John Oliver(2014),http://imdb.com/title/tt3530232/,8.8,84000,"Comedy, History, News",2014– ,TV-MA,"John Oliver, David Kaye, Ryan Barger, Noel MacNeal, Alberto Bonilla, H. Jon Benjamin, Gilbert Gottfried, Rachel Dratch, James Wojtal, Kyle Ploof, Paul McGinnis, Alex Webb, Thomas Kopache, Stephanie D'Abruzzo, Jack McBrayer, Frances Mitchell, Moujan Zolfaghari, Susan Evans"
43,Only Fools and Horses(1981),http://imdb.com/title/tt0081912/,8.8,49000,Comedy,1981–2003,TV-PG,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield, John Challis, Kenneth MacDonald, Lennard Pearce, Gwyneth Strong, Sue Holderness, Patrick Murray, Tessa Peake-Jones, Paul Barber, John Sullivan, Roy Heather, Denis Lill, Nula Conwell, Steven Woodcock, Julie La Rousse"
44,TVF Pitchers(2015),http://imdb.com/title/tt4742876/,8.8,64000,"Comedy, Drama",2015,TV-MA,"Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan, Akanksha Thakur, Maanvi Gagroo, Gopal Datt, Jaimini Pathak, Pranav Bhasin, Rajesh Sharma, Suneel Sinha, Biswapati Sarkar, Arnav Bhasin, Aditi Singh, Natasha Azad, Manjiri Pupala, Abhishek Banerjee, Manuj Sharma"
45,Gravity Falls(2012),http://imdb.com/title/tt1865718/,8.8,86000,"Animation, Action, Adventure",2012–2016,TV-Y7,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini, Kevin Michael Richardson, Matt Chapman, Kari Wahlgren, John DiMaggio, Keith Ferguson, Gregg Turkington, Jennifer Coolidge, Carl Faruolo, Niki Yang, Dee Bradley Baker, T.J. Miller, Will Forte, Grey Griffin, Thurop Van Orman"
46,Seinfeld(1989),http://imdb.com/title/tt0098904/,8.8,272000,Comedy,1989–1998,TV-PG,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander, Ruth Cohen, Wayne Knight, Norman Brenner, Heidi Swedberg, Estelle Harris, Jerry Stiller, Liz Sheridan, John O'Hurley, Barney Martin, Len Lesser, Deck McKenzie, Richard Herd, Peggy Lane, Richard Fancy"
47,Das Boot(1985),http://imdb.com/title/tt0081834/,8.8,28000,"Drama, Thriller, War",1985–1987,TV-MA,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge, Bernd Tauber, Erwin Leder, Martin May, Heinz Hoenig, Uwe Ochsenknecht, Claude-Oliver Rudolph, Jan Fedder, Ralf Richter, Joachim Bernhard, Oliver Stritzel, Konrad Becker, Lutz Schnell, Martin Hemme"
48,Monty Python's Flying Circus(1969),http://imdb.com/title/tt0063929/,8.8,71000,Comedy,1969–1974,TV-14,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Monty Python, Ian Davidson, John Hughman, The Fred Tomlinson Singers, Bob Raymond, Connie Booth, Lyn Ashley, Frank Lester, Rita Davies, Maureen Flanagan, Donna Reading"
49,Nathan for You(2013),http://imdb.com/title/tt2297757/,8.8,23000,"Documentary, Comedy",2013–2017,TV-14,"Nathan Fielder, Anthony Filosa, Brian S. Wolfe, Simon Kellog, William Heath, Salomon Flores, Tony Napoli, James Bailey, Sue Stanford, Cornelius Ladd, Kyle Heitz, Billy Smalling, Marcos Mateo Ochoa, Jason Stone, Corey Calderwood, Jennifer Anderton, H. Jon Benjamin, Javier Arteaga"
50,Friends(1994),http://imdb.com/title/tt0108778/,8.8,904000,"Comedy, Romance",1994–2004,TV-PG,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer, James Michael Tyler, Elliott Gould, Christina Pickles, Maggie Wheeler, Paul Rudd, Jane Sibbett, Helen Baxendale, Jessica Hecht, June Gable, Tom Selleck, Aisha Tyler, Giovanni Ribisi"
51,Pride and Prejudice(1995),http://imdb.com/title/tt0112130/,8.8,80000,"Drama, Romance",1995,TV-PG,"Colin Firth, Jennifer Ehle, Susannah Harker, Julia Sawalha, Alison Steadman, Benjamin Whitrow, Crispin Bonham-Carter, Polly Maberly, Lucy Briers, Anna Chancellor, Lucy Robinson, Adrian Lukis, David Bamber, Lucy Scott, Lucy Davis, Emilia Fox, Marlene Sidaway, Barbara Leigh-Hunt"
52,Black Mirror(2011),http://imdb.com/title/tt2085059/,8.8,482000,"Drama, Sci-Fi, Thriller",2011– ,TV-MA,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones, Charles Babalola, Daniel Kaluuya, Toby Kebbell, Rory Kinnear, Hayley Atwell, Lenora Crichlow, Daniel Rigby, Jon Hamm, Bryce Dallas Howard, Malachi Kirby, Alex Lawther, Kelly Macdonald, Gugu Mbatha-Raw, Wyatt Russell"
53,Twin Peaks(1990),http://imdb.com/title/tt0098936/,8.7,185000,"Crime, Drama, Mystery",1990–1991,TV-MA,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook, Richard Beymer, Lara Flynn Boyle, Sherilyn Fenn, Warren Frost, Peggy Lipton, James Marshall, Everett McGill, Jack Nance, Joan Chen, Kimmy Robertson, Michael Horse, Piper Laurie, Harry Goaz, Eric DaRe"
54,Over the Garden Wall(2014),http://imdb.com/title/tt3718778/,8.7,47000,"Animation, Adventure, Drama",2014,TV-PG,"Elijah Wood, Collin Dean, Melanie Lynskey, Christopher Lloyd, Samuel Ramey, Jack Jones, John Cleese, Emily Brundige, Shirley Jones, Fred Stoller, Cole Sanchez, Sam Marin, Chris Isaak, Janet Klein, Tim Curry, Noureen DeWulf, Bebe Neuwirth, Deborah Voigt"
55,Kota Factory(2019),http://imdb.com/title/tt9432978/,8.7,62000,"Comedy, Drama",2019–2021,TV-14,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Revathi Pillai, Urvi Singh, Harish Peddinti, Ahsaas Channa, Sameer Saxena, Vaibhav Thakkar, Arun Kumar, Abhishake Jha, Sachin Vidrohi, Jyoti Gauba, Rajesh Kumar, Abhaya Sharma, Jaiti Khera, Avi Singh"
56,Fawlty Towers(1975),http://imdb.com/title/tt0072500/,8.7,89000,Comedy,1975–1979,TV-PG,"John Cleese, Prunella Scales, Andrew Sachs, Connie Booth, Ballard Berkeley, Gilly Flower, Renee Roberts, Brian Hall, Terence Conoley, Elizabeth Benson, George Lee, Bernard Cribbins, Michael Gwynn, André Maranne, Bruce Boa, Ken Campbell, Nicky Henson, Geoffrey Palmer"
57,Narcos(2015),http://imdb.com/title/tt2707408/,8.7,384000,"Biography, Crime, Drama",2015–2017,TV-MA,"Pedro Pascal, Lizbeth Eden, Wagner Moura, Boyd Holbrook, Alberto Ammann, Muratcan Savci, Paulina Gaitan, Juan Murcia, Jorge Monterrosa, Damián Alcázar, Francisco Denis, Raúl Méndez, Juan Sebastián Calero, Paulina García, Diego Cataño, Brett Cullen, Julián Díaz, Joanna Christie"
58,Blackadder Goes Forth(1989),http://imdb.com/title/tt0096548/,8.7,50000,"Comedy, War",1989,TV-PG,"Rowan Atkinson, Tony Robinson, Stephen Fry, Hugh Laurie, Tim McInnerny, Gabrielle Glaister, Jeremy Hardy, Rik Mayall, Geoffrey Palmer, Miranda Richardson, Adrian Edmondson, Stephen Frost, Bill Wallis, Hugo Blick, Lee Cornes, Paul Mark Elliott, Jeremy Gittins, Russell Brook"
59,Ted Lasso(2020),http://imdb.com/title/tt10986410/,8.7,119000,"Comedy, Drama, Sport",2020– ,TV-MA,"Jason Sudeikis, Brett Goldstein, Brendan Hunt, Nick Mohammed, Hannah Waddingham, Jeremy Swift, Phil Dunster, Juno Temple, Toheeb Jimoh, Kola Bokinni, Billy Harris, Stephen Manas, Cristo Fernández, Moe Jeudy-Lamour, Annette Badland, Adam Colborne, Bronson Webb, Kevin Garry"
60,It's Always Sunny in Philadelphia(2005),http://imdb.com/title/tt0472954/,8.7,202000,Comedy,2005– ,TV-MA,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson, Danny DeVito, Mary Elizabeth Ellis, David Hornsby, Artemis Pebdani, Lynne Marie Stewart, David Zdunich, Sandy Martin, Lance Barber, Andrew Friedman, Gregory Scott Cummins, Jimmi Simpson, Nate Mooney, Michael Naughton, Catherine Reitman"
61,Freaks and Geeks(1999),http://imdb.com/title/tt0193676/,8.7,135000,"Comedy, Drama",1999–2000,TV-14,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine, Seth Rogen, Jason Segel, Martin Starr, Becky Ann Baker, Joe Flaherty, Busy Philipps, Jerome Elston Scott, Steve Bannos, Dave Allen, Sarah Hagan, Jerry Messing, Natasha Melnick, Stephen Lea Sheppard, Chauncey Leopardi"
62,Better Call Saul(2015),http://imdb.com/title/tt3032476/,8.7,360000,"Crime, Drama",2015–2022,TV-MA,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian, Michael Mando, Giancarlo Esposito, Michael McKean, Tony Dalton, Kerry Condon, Mark Margolis, Cara Pifko, Jeremiah Bitsui, Dennis Boutsikaris, Rex Linn, Josh Fadem, Julian Bonfiglio, Ray Campbell, John Christian Love"
63,Chappelle's Show(2003),http://imdb.com/title/tt0353049/,8.7,59000,"Comedy, Music",2003–2006,TV-MA,"Dave Chappelle, Donnell Rawlings, Rudy Rush, Charlie Murphy, Neal Brennan, Yasiin Bey, Randy Pearlstein, Melle Powers, Greer Barnes, Blaire Reinhard, Yoshio Mita, Paul Mooney, Guillermo Díaz, William Bogert, Sophina Brown, Questlove, Bryan Olsen, Bill Burr"
64,The Mandalorian(2019),http://imdb.com/title/tt8111088/,8.7,360000,"Action, Adventure, Sci-Fi",2019– ,TV-14,"Pedro Pascal, Barry Lowin, Gina Carano, Giancarlo Esposito, Carl Weathers, Chris Bartlett, Misty Rosas, Omid Abtahi, Temuera Morrison, Ming-Na Wen, Katy M. O'Brian, Rio Hackford, Amy Sedaris, Werner Herzog, Nick Nolte, Taika Waititi, Emily Swallow, Gabriel Ebert"
65,Peaky Blinders(2014),http://imdb.com/title/tt2442560/,8.7,417000,"Crime, Drama",2014– ,TV-MA,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle, Ned Dennehy, Finn Cole, Ian Peck, Natasha O'Keeffe, Harry Kirton, Joe Cole, Packy Lee, Annabelle Wallis, Kate Phillips, Aimee-Ffion Edwards, Tony Pitts, Jordan Bolger, Sam Neill, Tom Hardy"
66,The West Wing(1999),http://imdb.com/title/tt0200276/,8.7,69000,Drama,1999–2006,TV-14,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer, Bradley Whitford, Janel Moloney, Richard Schiff, Dulé Hill, NiCole Robinson, Melissa Fitzgerald, Joshua Malina, Stockard Channing, Kim Webster, Kris Murphy, Timothy Davis-Reed, Mary McCormack, William Duffy, Peter James Smith"
67,Dark(2017),http://imdb.com/title/tt5753856/,8.7,325000,"Crime, Drama, Mystery",2017–2020,TV-MA,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne, Jördis Triebel, Andreas Pietschmann, Stephan Kampwirth, Paul Lux, Christian Hutcherson, Oliver Masucci, Moritz Jahn, Peter Benedict, Gina Stiebitz, Deborah Kaufmann, Daan Lennard Liebrenz, Julika Jenkins, Carlotta von Falkenhayn, Tamar Pelzig"
68,One Punch Man(2015),http://imdb.com/title/tt4508902/,8.7,134000,"Animation, Action, Comedy",2015–2019,TV-PG,"Makoto Furukawa, Kaito Ishikawa, Max Mittelman, Zach Aguilar, Hiromichi Tezuka, Robbie Daymond, Kyle Hebert, Shôta Yamamoto, Yôji Ueda, Sean Chiplock, Yoshiaki Hasegawa, Kirk Thornton, Shin'ya Hamazoe, Bill Rogers, Hikaru Midorikawa, Ben Lepley, Ben Pronsky, Koichi Soma"
