rank,show name,IMDb page link,IMDb rating,# of ratings,genre,airing years,rating system,top casts
202,Ezel(2009),http://imdb.com/title/tt1534360/,8.5,30000,"Crime, Drama, Thriller",2009–2011,TV-14,"Kenan Imirzalioglu, Cansu Dere, Yigit Özsener, Baris Falay, Tuncel Kurtiz, Bade Iscil, Sarp Akkaya, Bayazit Gülercan, Ipek Bilgin, Nurhan Özenen, Baris Serma, Ataberk Ural, Burçin Terzioglu, Riza Kocaoglu, Salih Kalyon, Kemal Uçar, Levent Can, Mert Akbas"
203,Your Lie in April(2014),http://imdb.com/title/tt3895150/,8.4,23000,"Animation, Drama, Music",2014–2015,TV-PG,"Natsuki Hanae, Risa Taneda, Ayane Sakura, Ryôta Ôsaka, Jennifer Alyx, Megan Crockett, Erika Harlacher, Erik Scott Kimerer, Christina McBride, Amanda Céline Miller, Ryan Raydarke, Abelina Sabrina Rios, Adin Rudd, Julie Ann Taylor, Erica Lindbeck, Kyle McCarley, Landon McDonald, Erica Mendez"
204,Samurai Jack(2001),http://imdb.com/title/tt0278238/,8.4,49000,"Animation, Action, Adventure",2001–2017,TV-14,"Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett, Grey Griffin, Tara Strong, Tom Kenny, Daran Norris, Greg Baldwin, John DiMaggio, Jennifer Hale, Dee Bradley Baker, Sab Shimono, Richard McGonagle, Lauren Tom, Keone Young, Rob Paulsen, Clyde Kusatsu"
205,Whose Line Is It Anyway?(1998),http://imdb.com/title/tt0163507/,8.4,42000,"Comedy, Game-Show",1998–2007,TV-PG,"Drew Carey, Colin Mochrie, Ryan Stiles, Laura Hall, Wayne Brady, Linda Taylor, Greg Proops, Brad Sherwood, Cece Worrall Rubin, Charles Esten, Kathryn Greenwood, Denny Siegel, Anne King, Jeff Bryan Davis, Anna Wanselius, Kathy Griffin, Karen Maruyama, Whoopi Goldberg"
206,Big Little Lies(2017),http://imdb.com/title/tt3920596/,8.4,175000,"Crime, Drama, Mystery",2017–2019,TV-MA,"Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz, Adam Scott, Laura Dern, James Tupper, Alexander Skarsgård, Jeffrey Nordling, Iain Armitage, Darby Camp, Kathryn Newton, Cameron Crovetti, Nicholas Crovetti, Chloe Coleman, Ivy George, Larry Sullivan, Merrin Dungey"
207,Sons of Anarchy(2008),http://imdb.com/title/tt1124373/,8.4,276000,"Crime, Drama, Thriller",2008–2014,TV-MA,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates, Tommy Flanagan, Theo Rossi, Dayton Callie, Maggie Siff, Ron Perlman, David Labrava, Ryan Hurst, William Lucking, Michael Ornstein, Winter Ave Zoli, Jimmy Smits, Niko Nicotera, Chris Reed, Drea de Matteo"
208,I'm Alan Partridge(1997),http://imdb.com/title/tt0129690/,8.4,20000,Comedy,1997–2002,TV-MA,"Steve Coogan, Simon Greenall, Felicity Montagu, Phil Cornwell, Andrew Burt, Amelia Bullmore, Barbara Durkin, Sally Phillips, James Lance, Tim Dantay, David Schneider, Simon Ludders, Danny Cunningham, Terence Booth, Michael Wardle, Peter Baynham, Polly Kemp, Steve Brody"
209,It's Okay to Not Be Okay(2020),http://imdb.com/title/tt12451520/,8.4,16000,"Comedy, Drama, Romance",2020,TV-MA,"Kim Soo-hyun, Seo Ye-Ji, Oh Jeong-Se, Park Gyuyoung, Park Jin-Joo, Kim Joo-Heon, Kang Ki-Doong, Jang Young-Nam, Jang Gyu-ri, Kim Chang-wan, Lee Eol, Jeong Jaekwang, Ki-Cheon Kim, Kim Mi-Kyung, Choi Woo-Sung, Kim Soo-In, Kang Ji-Eun, Joon Seo"
210,The Defiant Ones(2017),http://imdb.com/title/tt6958022/,8.4,13000,"Documentary, Biography, Crime",2017,TV-MA,"Bono, Dr. Dre, Jimmy Iovine, Janet Mormile, Stevie Nicks, Tom Petty, Sean 'Diddy' Combs, The D.O.C., DJ Yella, Verna Griffin, Ice Cube, Vicki Iovine, Doug Morris, Nas, Trent Reznor, Snoop Dogg, Bruce Springsteen, Gwen Stefani"
211,Spartacus(2010),http://imdb.com/title/tt1442449/,8.4,231000,"Action, Adventure, Biography",2010–2013,TV-MA,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel, Peter Mensah, Nick E. Tarabay, Viva Bianca, Liam McIntyre, Pana Hema Taylor, Cynthia Addai-Robinson, Dustin Clare, Heath Jones, Katrina Law, Ellen Hollman, Barry Duffield, Kelvin Taylor, John Hannah, Craig Parker"
212,Mr Inbetween(2018),http://imdb.com/title/tt7472896/,8.4,12000,"Crime, Drama",2018–2021,TV-MA,"Scott Ryan, Chika Yasumura, Justin Rosniak, Damon Herriman, Brooke Satchwell, Nicholas Cassim, Natalie Tran, Matt Nable, Lizzie Schebesta, Jed, Jeremy Sims, Kenny Graham, Eddie Baroo, Josh McConville, Kieran Darcy-Smith, David Michôd, Scott Harrison, Rose Riley"
213,Ethos(2020),http://imdb.com/title/tt11301642/,8.4,24000,"Drama, Thriller",2020– ,TV-MA,"Öykü Karayel, Fatih Artman, Funda Eryigit, Defne Kayalar, Settar Tanriögen, Tülin Özen, Bige Önal, Göktug Yildirim, Neil Vanides, Gokhan Yikilkan, Alican Yücesoy, Nesrin Cavadzade, Cemre Zisan Sagbir, Derya Karadas, Esme Madra, Aziz Çapkurt, Incinur Sevimli, Özge Özel"
214,Erased(2016),http://imdb.com/title/tt5249462/,8.4,37000,"Animation, Drama, Fantasy",2016,TV-14,"Ben Diskin, Shinnosuke Mitsushima, Michelle Ruff, Minami Takayama, Tao Tsuchiya, David W. Collins, Sara Cravens, Mitsuru Miyamoto, Stephanie Sheh, Christine Marie Cabanos, Ayaka Nanase, Aoi Yûki, Ryan Bartley, Yukitoshi Kikuchi, Akari Kitô, Erica Mendez, You Taichi, Bobby Thong"
215,My Brilliant Friend(2018),http://imdb.com/title/tt7278862/,8.4,12000,Drama,2018– ,TV-MA,"Alba Rohrwacher, Margherita Mazzucco, Gaia Girace, Annarita Vitolo, Alessio Gallo, Valentina Acca, Giovanni Amura, Antonio Buonanno, Gennaro De Stefano, Francesco Serpico, Elvis Esposito, Luca Gallone, Fabrizio Cottone, Ulrike Migliaresi, Chiara Di Costanzo, Pina Di Gennaro, Sarah Falanga, Anna Cerchia"
216,Mare of Easttown(2021),http://imdb.com/title/tt10155688/,8.4,110000,"Crime, Drama, Mystery",2021,TV-MA,"Kate Winslet, Julianne Nicholson, Jean Smart, Angourie Rice, John Douglas Thompson, Joe Tippett, Cameron Mann, Jack Mulhern, Izzy King, Justin Hurtt-Dunkley, Sosie Bacon, David Denman, Neal Huff, James McArdle, Guy Pearce, Ruby Cruz, Enid Graham, Chinasa Ogbuagu"
